ID,Groups,Description,Baseline [02-12 23:05]
BB-INT-11,BuildBase.traverse with GitTraversalInfo,Finds git repositories [2026-02-12],OK/OK
BB-FLT-26,GitRepoFinder,Finds submodules [2026-02-12],OK/OK
BB-FLT-27,GitRepoFinder,Returns empty list for non-git folder [2026-02-12],OK/OK
BB-FLT-28,FolderSorter,SortByInnerFirst orders deeper paths first [2026-02-12],OK/OK
BB-INT-12,BuildBase.traverse with GitTraversalInfo,InnerFirst mode processes inner repos before outer [2026-02-12],OK/OK
BB-FLT-29,FolderSorter,SortByOuterFirst orders shallower paths first [2026-02-12],OK/OK
BB-INT-13,BuildBase.traverse with GitTraversalInfo,OuterFirst mode processes outer repos before inner [2026-02-12],OK/OK
BB-INT-14,BuildBase.findProjects,Returns CommandContext list without executing [2026-02-12],OK/OK
BB-INT-15,BuildBase.findProjects,Respects include patterns [2026-02-12],OK/OK
BB-INT-16,BuildBase.findProjects,Respects exclude patterns [2026-02-12],OK/OK
BB-INT-17,BuildBase.findProjects,Respects requiredNatures filter [2026-02-12],OK/OK
BB-INT-18,ProcessingResult,Tracks successful operations [2026-02-12],OK/OK
BB-INT-19,ProcessingResult,Tracks failed operations [2026-02-12],OK/OK
BB-INT-20,ProcessingResult,Tracks errors [2026-02-12],OK/OK
BB-INT-21,Workspace VS Code Extension,Detects tom_vscode_extension as both VsCodeExtension and TypeS... [2026-02-12],OK/OK
BB-NAT-5,NatureDetector > Dart package detection,Detects DartPackageFolder for zom_test_package [2026-02-12],OK/OK
